taxid,genome_size,species_name
4944,19567216,Saccharomycopsis fibuligera
4950,9220678,Torulaspora delbrueckii
4952,21223294,Yarrowia lipolytica
4954,10994009,Zygosaccharomyces bailii
4955,10264457,Lachancea fermentati
4956,9764635,Zygosaccharomyces rouxii
4959,12152486,Debaryomyces hansenii
4972,20956552,Dioszegia hungarica
39950,1247407,Dialister pneumosintes
4999,17465713,Kockovaella imperatae
5007,13150648,Brettanomyces bruxellensis
5011,13340275,Taphrina deformans
5016,37785996,Bipolaris maydis
5017,31267936,Bipolaris zeicola
5022,42037832,Plenodomus lingam
5025,72791559,Venturia inaequalis
5037,30438878,Histoplasma capsulatum
5039,66568269,Blastomyces dermatitidis
5044,28563214,Acremonium chrysogenum
5046,32378563,Sarocladium strictum
5053,35424414,Aspergillus aculeatus
5057,27859441,Aspergillus clavatus
5059,36995582,Aspergillus flavus
5061,33975768,Aspergillus niger
5062,37882812,Aspergillus oryzae
5063,35753538,Aspergillus phoenicis
5065,12587437,Aspergillus sp.
5066,31350635,Aspergillus wentii
5067,38682576,Aspergillus parasiticus
5068,35047229,Aspergillus tubingensis
5074,34726155,Penicillium brevicompactum
5075,35346490,Penicillium camemberti
5076,32379777,Penicillium chrysogenum
5077,31396546,Penicillium citrinum
5078,29140916,Penicillium griseofulvum
5082,26941230,Penicillium roqueforti
5083,46284494,Penicillium canescens
5098,24475985,Monascus purpureus
5101,28632918,Amorphotheca resinae
5105,20313079,Ascosphaera apis
5111,34178275,Claviceps purpurea
5113,38251297,Epichloe typhina
5116,43870411,Cryphonectria parasitica
5127,43832314,Fusarium fujikuroi
5141,41037538,Neurospora crassa
5147,39444728,Sordaria macrospora
5158,36097259,Ceratocystis fimbriata
5180,38330312,Sclerotinia sclerotiorum
5191,59529874,Ascobolus immersus
5194,52425457,Morchella conica
5207,19051922,Cryptococcus neoformans
5208,16179376,Cryptococcus depauperatus
5210,27469088,Filobasidium floriforme
5212,17725949,Filobasidium uniguttulatum
5217,28639919,Tremella mesenterica
750,2408630,Gallibacterium anatis
752,2253160,Pasteurella bettyae
753,2219635,Pasteurella canis
754,2287213,Pasteurella dagmatis
755,2342758,Avibacterium gallinarum
756,1989693,Pasteurella langaaensis
758,2434546,Rodentibacter pneumotropicus
761,3029577,Pasteurella testudinis
777,2032807,Coxiella burnetii
781,1268755,Rickettsia conorii
782,1109804,Rickettsia prowazekii
783,1257710,Rickettsia rickettsii
784,2078193,Orientia tsutsugamushi
786,1231060,Rickettsia akari
787,1323280,Rickettsia australis
788,1150228,Rickettsia canadensis
813,1042519,Chlamydia trachomatis
817,5248938,Bacteroides fragilis
818,6304193,Bacteroides thetaiotaomicron
820,4920161,Bacteroides uniformis
821,4977532,Phocaeicola vulgatus
823,5112778,Parabacteroides distasonis
824,2281652,Campylobacter gracilis
826,4486650,Sebaldella termitidis
827,1820334,Campylobacter ureolyticus
831,4934347,Butyrivibrio fibrisolvens
833,3843004,Fibrobacter succinogenes
837,2354886,Porphyromonas gingivalis
839,3439340,Prevotella ruminicola
840,3508589,Hoylesella loescheii
844,2110355,Wolinella succinogenes
847,2468871,Oxalobacter formigenes
849,1678881,Fusobacterium gonidiaformans
