Name,taxonomy_id,genome_size,,Source (only if perplexity ai is used)
Streptococcus sp. oral taxon 431,712633,1953722,,
Neorhizobium sp. NCHU2750,1825976,6351242,,
Pseudomonas sp. MT-1,150396,4861258,,
Ahniella affigens,2021234,6120935,,
Sinorhizobium sp. CCBAU 05631,794846,6342560,,
Cohnella sp. 18JY8-7,2480923,"5,289,049",,https://www.kegg.jp/kegg-bin/show_organism?org=coh
Candidatus Pseudomonas adelgestsugas,1302376,1835598,,
Bacillus velezensis,492670,4014440,,
Actinoplanes missouriensis,1866,8773466,,
Acinetobacter sp. WCHAc010052,2004647,3630571,,
Acinetobacter sp. WCHA55,2004646,3967361,,
Acinetobacter sp. WCHA45,2004644,3092259,,
Coprothermobacter proteolyticus,35786,1424912,,
Arcanobacterium phocae,131112,1998342,,
Schaalia radingae,131110,2430293,,
Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),2066483,1174272,,
Halothece sp. PCC 7418,65093,4179170,,
Xanthomonas albilineans,29447,3756117,,
Rickettsia africae,35788,1290917,,
Rickettsia helvetica,35789,1417115,,
Candidatus Walczuchella monophlebidarum,1415657,309299,,
Treponema succinifaciens,167,2897425,,
Polaribacter sp. MED152,313598,2961474,,
Flavisolibacter sp. 17J28-1,2502779,4804510,,
Treponema pallidum,160,1139330,,
Pseudarthrobacter chlorophenolicus,85085,4980870,,
Truepera radiovictrix,332249,3260398,,
Leclercia sp. LSNIH1,1920114,5411940,,
Xanthomonas citri,346,5222255,,
Leclercia sp. LSNIH3,1920116,5389886,,
Citrobacter sp. CFNIH10,1920110,5738233,,
Xanthomonas translucens,343,4649333,,
Geobacter sp. M18,443143,"5,277,406",,https://www.ebi.ac.uk/genomes/bacteria.html
Desulfovibrio hydrothermalis,191026,3708362,,
Iodobacter sp. H11R3,2496266,3877377,,
Geobacter sp. M21,443144,"4,745,806",,https://www.genome.jp/kegg-bin/show_organism?org=gem
Sporolactobacillus terrae,269673,3344205,,
Cutibacterium granulosum,33011,2179712,,
Pseudomonas sp. ACM7,2052956,6602660,,
Arcobacter bivalviorum,663364,2684688,,
Microbacterium hominis,162426,3475666,,
Streptomyces sp. SM17,565560,7179914,,
Saprospira grandis,1008,4400185,,
Sulfitobacter pseudonitzschiae,1402135,4933696,,
Klebsiella sp. WCHKl090001,2153354,6300829,,
Tamlana sp. UJ94,2069432,4116543,,
Paenibacillus sp. FSL P4-0081,1536769,8423054,,
Dokdonia sp. MED134,313590,3302548,,
Basilea psittacipulmonis,1472345,1959069,,
Streptomyces sp. CFMR 7,1649184,8519940,,
Mycobacterium sp. MS1601,1936029,6829132,,
Streptomyces sp. fd1-xmd,1812480,7929999,,
Marinobacter sp. NP-4(2019),2488665,4625865,,
Streptosporangium sp. 'caverna',2202249,11342172,,
Candidatus Planktophila vernalis,1884907,1364004,,
Planctomyces sp. SH-PL62,1636152,7515330,,
Candidatus Planktophila versatilis,1884905,1326591,,
Serratia plymuthica,82996,5442880,,
Bacteriovorax stolpii,960,3880871,,
Nocardioides daphniae,402297,3548196,,
Oligella urethralis,90245,2420065,,
Gynuella sunshinyii,1445505,6475959,,
Peptostreptococcaceae bacterium oral taxon 929,2081703,1646831,,
Halobacteriovorax sp. BALOs_7,2109558,3153210,,
Pelagibaca abyssi,1250539,5259072,,
Alteromonas sp. 76-1,2358187,4857090,,
Ktedonobacterales bacterium SCAWS-G2,2509675,11340617,,
Pseudomonas fragi,296,5077209,,
Hydrogenophilus thermoluteolus,297,2288780,,
Pseudomonas fluorescens,294,6511547,,
Burkholderia cepacia,292,8366868,,
Brevundimonas diminuta,293,3438815,,
Roseburia intestinalis,166486,4493348,,
Curtobacterium pusillum,69373,3603433,,
Erysipelotrichaceae bacterium SG0102,2487118,3212924,,
Providencia rettgeri,587,4454136,,
Marivirga tractuosa,1006,4516490,,
Streptomyces albulus,68570,9372401,,
Pontibacter actiniarum,323450,4974797,,
Cyanothece sp. ATCC 51142,43989,5460377,,
Thermus aquaticus,271,2338641,,
Corynebacterium epidermidicanis,1050174,2692072,,
Thermus thermophilus,274,2116056,,
Bacterioplanes sanyensis,1249553,3832536,,
Pseudohongiella spirulinae,1249552,3345119,,
Halomonas sp. JS92-SW72,2306583,4062869,,
Bartonella apis,1686310,2525262,,
Aminipila sp. JN-39,2507160,2750839,,
Sporanaerobacter sp. NJN-17,2507161,3743723,,
Caproiciproducens sp. NJN-50,2507162,3308050,,
Prevotella sp. oral taxon 299,652716,2480269,,
Scytonema sp. HK-05,1137095,9630470,,
Aequorivita sublithincola,101385,3520671,,
Streptococcus sp. FDAARGOS_192,1839799,2435494,,
Staphylococcus schweitzeri,1654388,2784939,,
